#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.144683 -0.686747 -999 -999 -999
-999 -999 -999 0.211656 -0.754560 -999 -999 -999
-999 -999 -999 0.223415 -0.686507 -999 -999 -999
-999 -999 -999 0.237730 -0.781460 -999 -999 -999
-999 -999 -999 0.306237 -0.752905 -999 -999 -999
-999 -999 -999 0.420757 -0.681607 -999 -999 -999
-999 -999 -999 0.417689 -0.656440 -999 -999 -999
-999 -999 -999 0.406953 -0.598062 -999 -999 -999
-999 -999 -999 0.343047 -0.641571 -999 -999 -999
-999 -999 -999 0.522495 -0.636860 -999 -999 -999
-999 -999 -999 0.494376 -0.567665 -999 -999 -999
-999 -999 -999 0.426892 -0.568351 -999 -999 -999
-999 -999 -999 0.600204 -0.381171 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=60.416000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.428825 -999 -999 -999
-999 -999 -999 0.987219 0.478605 -999 -999 -999
-999 -999 -999 0.986708 0.480937 -999 -999 -999
-999 -999 -999 0.623722 -0.207933 -999 -999 -999
-999 -999 -999 0.606851 -0.225363 -999 -999 -999
-999 -999 -999 0.740286 -0.215879 -999 -999 -999
-999 -999 -999 0.706033 -0.239463 -999 -999 -999
-999 -999 -999 0.810327 -0.148743 -999 -999 -999
-999 -999 -999 0.826176 -0.126152 -999 -999 -999
-999 -999 -999 0.001534 0.121299 -999 -999 -999
-999 -999 -999 0.000000 0.439781 -999 -999 -999
-999 -999 -999 0.002556 0.078814 -999 -999 -999
-999 -999 -999 0.986708 0.454388 -999 -999 -999
-999 -999 -999 0.969325 0.138307 -999 -999 -999
-999 -999 -999 0.953476 0.080263 -999 -999 -999
-999 -999 -999 0.943252 0.020537 -999 -999 -999
-999 -999 -999 0.914110 -0.056939 -999 -999 -999
-999 -999 -999 0.898773 -0.075459 -999 -999 -999
-999 -999 -999 0.888548 -0.084837 -999 -999 -999
-999 -999 -999 0.839468 -0.105052 -999 -999 -999
-999 -999 -999 0.004601 0.002283 -999 -999 -999
-999 -999 -999 0.006646 -0.225959 -999 -999 -999
-999 -999 -999 0.008691 -0.343757 -999 -999 -999
-999 -999 -999 0.012270 -0.414730 -999 -999 -999
-999 -999 -999 0.018405 -0.495501 -999 -999 -999
-999 -999 -999 0.018405 -0.525897 -999 -999 -999
-999 -999 -999 0.024029 -0.530495 -999 -999 -999
-999 -999 -999 0.043456 -0.581808 -999 -999 -999
-999 -999 -999 0.044990 -0.615553 -999 -999 -999
-999 -999 -999 0.046524 -0.635044 -999 -999 -999
-999 -999 -999 0.086401 -0.648350 -999 -999 -999
-999 -999 -999 0.087935 -0.713453 -999 -999 -999
-999 -999 -999 0.134969 -0.679110 -999 -999 -999
-999 -999 -999 0.144683 -0.691188 -999 -999 -999
-999 -999 -999 0.212168 -0.734355 -999 -999 -999
-999 -999 -999 0.223415 -0.687981 -999 -999 -999
-999 -999 -999 0.237730 -0.787012 -999 -999 -999
-999 -999 -999 0.306748 -0.761164 -999 -999 -999
-999 -999 -999 0.421268 -0.705724 -999 -999 -999
-999 -999 -999 0.418200 -0.687437 -999 -999 -999
-999 -999 -999 0.408487 -0.607803 -999 -999 -999
-999 -999 -999 0.343558 -0.623510 -999 -999 -999
-999 -999 -999 0.522495 -0.694281 -999 -999 -999
-999 -999 -999 0.494888 -0.627877 -999 -999 -999
-999 -999 -999 0.426380 -0.589570 -999 -999 -999
-999 -999 -999 0.600204 -0.430661 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=60.620800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.396387 -999 -999 -999
-999 -999 -999 0.987206 0.405384 -999 -999 -999
-999 -999 -999 0.987206 0.401280 -999 -999 -999
-999 -999 -999 0.626407 -0.207656 -999 -999 -999
-999 -999 -999 0.606960 -0.222371 -999 -999 -999
-999 -999 -999 0.740532 -0.208142 -999 -999 -999
-999 -999 -999 0.707267 -0.223889 -999 -999 -999
-999 -999 -999 0.809110 -0.123547 -999 -999 -999
-999 -999 -999 0.826510 -0.082996 -999 -999 -999
-999 -999 -999 0.001535 0.117367 -999 -999 -999
-999 -999 -999 0.000000 0.468504 -999 -999 -999
-999 -999 -999 0.002047 0.069609 -999 -999 -999
-999 -999 -999 0.987206 0.379751 -999 -999 -999
-999 -999 -999 0.969806 0.110844 -999 -999 -999
-999 -999 -999 0.953941 0.096571 -999 -999 -999
-999 -999 -999 0.943705 0.085027 -999 -999 -999
-999 -999 -999 0.914023 -0.004282 -999 -999 -999
-999 -999 -999 0.899181 -0.032804 -999 -999 -999
-999 -999 -999 0.889458 -0.043853 -999 -999 -999
-999 -999 -999 0.841863 -0.056480 -999 -999 -999
-999 -999 -999 0.004094 0.030560 -999 -999 -999
-999 -999 -999 0.006141 -0.193693 -999 -999 -999
-999 -999 -999 0.008188 -0.313622 -999 -999 -999
-999 -999 -999 0.011771 -0.394844 -999 -999 -999
-999 -999 -999 0.017400 -0.469535 -999 -999 -999
-999 -999 -999 0.017912 -0.524342 -999 -999 -999
-999 -999 -999 0.017912 -0.518489 -999 -999 -999
-999 -999 -999 0.023541 -0.541109 -999 -999 -999
-999 -999 -999 0.043501 -0.594320 -999 -999 -999
-999 -999 -999 0.045036 -0.626384 -999 -999 -999
-999 -999 -999 0.046059 -0.628860 -999 -999 -999
-999 -999 -999 0.086489 -0.705204 -999 -999 -999
-999 -999 -999 0.087513 -0.678362 -999 -999 -999
-999 -999 -999 0.135107 -0.681693 -999 -999 -999
-999 -999 -999 0.144319 -0.726875 -999 -999 -999
-999 -999 -999 0.212897 -0.691013 -999 -999 -999
-999 -999 -999 0.223644 -0.767802 -999 -999 -999
-999 -999 -999 0.237462 -0.736736 -999 -999 -999
-999 -999 -999 0.307574 -0.747016 -999 -999 -999
-999 -999 -999 0.421699 -0.739524 -999 -999 -999
-999 -999 -999 0.419652 -0.669953 -999 -999 -999
-999 -999 -999 0.411975 -0.660211 -999 -999 -999
-999 -999 -999 0.343910 -0.740349 -999 -999 -999
-999 -999 -999 0.522006 -0.689305 -999 -999 -999
-999 -999 -999 0.494882 -0.657653 -999 -999 -999
-999 -999 -999 0.425793 -0.458375 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=60.825600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.414162 -999 -999 -999
-999 -999 -999 0.987206 0.393012 -999 -999 -999
-999 -999 -999 0.987206 0.389982 -999 -999 -999
-999 -999 -999 0.630502 -0.181080 -999 -999 -999
-999 -999 -999 0.607984 -0.189204 -999 -999 -999
-999 -999 -999 0.740532 -0.207308 -999 -999 -999
-999 -999 -999 0.708291 -0.227038 -999 -999 -999
-999 -999 -999 0.806551 -0.147811 -999 -999 -999
-999 -999 -999 0.827021 -0.103562 -999 -999 -999
-999 -999 -999 0.001535 0.121396 -999 -999 -999
-999 -999 -999 0.000000 0.452860 -999 -999 -999
-999 -999 -999 0.002047 0.098511 -999 -999 -999
-999 -999 -999 0.986694 0.359471 -999 -999 -999
-999 -999 -999 0.969806 0.056472 -999 -999 -999
-999 -999 -999 0.954452 0.052512 -999 -999 -999
-999 -999 -999 0.943705 0.005294 -999 -999 -999
-999 -999 -999 0.912999 -0.008057 -999 -999 -999
-999 -999 -999 0.899181 -0.019842 -999 -999 -999
-999 -999 -999 0.889969 -0.032589 -999 -999 -999
-999 -999 -999 0.844422 -0.072598 -999 -999 -999
-999 -999 -999 0.003582 0.045096 -999 -999 -999
-999 -999 -999 0.006653 -0.210104 -999 -999 -999
-999 -999 -999 0.008700 -0.341488 -999 -999 -999
-999 -999 -999 0.011771 -0.406126 -999 -999 -999
-999 -999 -999 0.017400 -0.475009 -999 -999 -999
-999 -999 -999 0.017912 -0.518573 -999 -999 -999
-999 -999 -999 0.018424 -0.524415 -999 -999 -999
-999 -999 -999 0.024053 -0.545817 -999 -999 -999
-999 -999 -999 0.044524 -0.589728 -999 -999 -999
-999 -999 -999 0.045548 -0.617120 -999 -999 -999
-999 -999 -999 0.046059 -0.621733 -999 -999 -999
-999 -999 -999 0.087001 -0.673002 -999 -999 -999
-999 -999 -999 0.087513 -0.641258 -999 -999 -999
-999 -999 -999 0.136131 -0.654466 -999 -999 -999
-999 -999 -999 0.144319 -0.706158 -999 -999 -999
-999 -999 -999 0.213920 -0.658257 -999 -999 -999
-999 -999 -999 0.224156 -0.769075 -999 -999 -999
-999 -999 -999 0.236950 -0.741238 -999 -999 -999
-999 -999 -999 0.309621 -0.755200 -999 -999 -999
-999 -999 -999 0.422723 -0.744837 -999 -999 -999
-999 -999 -999 0.421187 -0.644877 -999 -999 -999
-999 -999 -999 0.416581 -0.629898 -999 -999 -999
-999 -999 -999 0.344933 -0.699086 -999 -999 -999
-999 -999 -999 0.521494 -0.695613 -999 -999 -999
-999 -999 -999 0.495906 -0.677806 -999 -999 -999
-999 -999 -999 0.425281 -0.458797 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=61.030400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.441647 -999 -999 -999
-999 -999 -999 0.986701 0.391407 -999 -999 -999
-999 -999 -999 0.986701 0.386430 -999 -999 -999
-999 -999 -999 0.635294 -0.184481 -999 -999 -999
-999 -999 -999 0.608696 -0.193706 -999 -999 -999
-999 -999 -999 0.740153 -0.196179 -999 -999 -999
-999 -999 -999 0.709463 -0.206764 -999 -999 -999
-999 -999 -999 0.803581 -0.119244 -999 -999 -999
-999 -999 -999 0.827621 -0.077483 -999 -999 -999
-999 -999 -999 0.002046 0.110317 -999 -999 -999
-999 -999 -999 0.000000 0.450072 -999 -999 -999
-999 -999 -999 0.002558 0.085087 -999 -999 -999
-999 -999 -999 0.986189 0.359956 -999 -999 -999
-999 -999 -999 0.969309 0.092616 -999 -999 -999
-999 -999 -999 0.954476 0.076543 -999 -999 -999
-999 -999 -999 0.943223 0.028216 -999 -999 -999
-999 -999 -999 0.911509 -0.018210 -999 -999 -999
-999 -999 -999 0.898721 -0.031790 -999 -999 -999
-999 -999 -999 0.890026 -0.042004 -999 -999 -999
-999 -999 -999 0.848082 -0.054690 -999 -999 -999
-999 -999 -999 0.003581 0.051227 -999 -999 -999
-999 -999 -999 0.006650 -0.205324 -999 -999 -999
-999 -999 -999 0.009207 -0.337152 -999 -999 -999
-999 -999 -999 0.012276 -0.371517 -999 -999 -999
-999 -999 -999 0.016880 -0.449984 -999 -999 -999
-999 -999 -999 0.017903 -0.492646 -999 -999 -999
-999 -999 -999 0.019437 -0.501175 -999 -999 -999
-999 -999 -999 0.024552 -0.502733 -999 -999 -999
-999 -999 -999 0.046036 -0.594083 -999 -999 -999
-999 -999 -999 0.046036 -0.624081 -999 -999 -999
-999 -999 -999 0.046547 -0.629550 -999 -999 -999
-999 -999 -999 0.064450 -0.631372 -999 -999 -999
-999 -999 -999 0.087468 -0.602037 -999 -999 -999
-999 -999 -999 0.087980 -0.663535 -999 -999 -999
-999 -999 -999 0.137084 -0.694375 -999 -999 -999
-999 -999 -999 0.091560 -0.677983 -999 -999 -999
-999 -999 -999 0.144757 -0.774795 -999 -999 -999
-999 -999 -999 0.215857 -0.745846 -999 -999 -999
-999 -999 -999 0.225064 -0.753772 -999 -999 -999
-999 -999 -999 0.236829 -0.801303 -999 -999 -999
-999 -999 -999 0.311509 -0.708143 -999 -999 -999
-999 -999 -999 0.423529 -0.689103 -999 -999 -999
-999 -999 -999 0.423529 -0.709281 -999 -999 -999
-999 -999 -999 0.423018 -0.758135 -999 -999 -999
-999 -999 -999 0.345780 -0.741352 -999 -999 -999
-999 -999 -999 0.520716 -0.489688 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=61.235200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.438973 -999 -999 -999
-999 -999 -999 0.987711 0.350671 -999 -999 -999
-999 -999 -999 0.987199 0.343246 -999 -999 -999
-999 -999 -999 0.640553 -0.147114 -999 -999 -999
-999 -999 -999 0.609831 -0.162202 -999 -999 -999
-999 -999 -999 0.740399 -0.175336 -999 -999 -999
-999 -999 -999 0.711214 -0.194945 -999 -999 -999
-999 -999 -999 0.800307 -0.118093 -999 -999 -999
-999 -999 -999 0.828469 -0.081214 -999 -999 -999
-999 -999 -999 0.001536 0.133862 -999 -999 -999
-999 -999 -999 0.000000 0.456416 -999 -999 -999
-999 -999 -999 0.002048 0.113695 -999 -999 -999
-999 -999 -999 0.986175 0.320151 -999 -999 -999
-999 -999 -999 0.969790 0.103326 -999 -999 -999
-999 -999 -999 0.954941 0.096113 -999 -999 -999
-999 -999 -999 0.943676 0.052224 -999 -999 -999
-999 -999 -999 0.910906 -0.009425 -999 -999 -999
-999 -999 -999 0.898618 -0.031765 -999 -999 -999
-999 -999 -999 0.890937 -0.042364 -999 -999 -999
-999 -999 -999 0.852535 -0.057698 -999 -999 -999
-999 -999 -999 0.003072 0.082316 -999 -999 -999
-999 -999 -999 0.006144 -0.189027 -999 -999 -999
-999 -999 -999 0.009217 -0.338004 -999 -999 -999
-999 -999 -999 0.011777 -0.385580 -999 -999 -999
-999 -999 -999 0.015873 -0.445560 -999 -999 -999
-999 -999 -999 0.017921 -0.488109 -999 -999 -999
-999 -999 -999 0.019457 -0.505618 -999 -999 -999
-999 -999 -999 0.024066 -0.551602 -999 -999 -999
-999 -999 -999 0.045059 -0.574124 -999 -999 -999
-999 -999 -999 0.046083 -0.602334 -999 -999 -999
-999 -999 -999 0.046595 -0.607111 -999 -999 -999
-999 -999 -999 0.087046 -0.649376 -999 -999 -999
-999 -999 -999 0.088582 -0.657751 -999 -999 -999
-999 -999 -999 0.137737 -0.701118 -999 -999 -999
-999 -999 -999 0.097798 -0.673567 -999 -999 -999
-999 -999 -999 0.144393 -0.714176 -999 -999 -999
-999 -999 -999 0.217614 -0.751438 -999 -999 -999
-999 -999 -999 0.225806 -0.719533 -999 -999 -999
-999 -999 -999 0.236047 -0.731902 -999 -999 -999
-999 -999 -999 0.313364 -0.803405 -999 -999 -999
-999 -999 -999 0.429083 -0.707040 -999 -999 -999
-999 -999 -999 0.425499 -0.711373 -999 -999 -999
-999 -999 -999 0.424475 -0.731282 -999 -999 -999
-999 -999 -999 0.347158 -0.780274 -999 -999 -999
-999 -999 -999 0.422939 -0.736545 -999 -999 -999
-999 -999 -999 0.520225 -0.514987 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=61.440000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.421713 -999 -999 -999
-999 -999 -999 0.987711 0.282215 -999 -999 -999
-999 -999 -999 0.986687 0.273479 -999 -999 -999
-999 -999 -999 0.645673 -0.147337 -999 -999 -999
-999 -999 -999 0.610855 -0.153554 -999 -999 -999
-999 -999 -999 0.740399 -0.173832 -999 -999 -999
-999 -999 -999 0.712750 -0.197310 -999 -999 -999
-999 -999 -999 0.797235 -0.118274 -999 -999 -999
-999 -999 -999 0.828981 -0.078128 -999 -999 -999
-999 -999 -999 0.002048 0.103875 -999 -999 -999
-999 -999 -999 0.000000 0.448975 -999 -999 -999
-999 -999 -999 0.002048 0.081303 -999 -999 -999
-999 -999 -999 0.985151 0.252650 -999 -999 -999
-999 -999 -999 0.969790 0.065161 -999 -999 -999
-999 -999 -999 0.955453 0.082428 -999 -999 -999
-999 -999 -999 0.943676 0.048570 -999 -999 -999
-999 -999 -999 0.909370 -0.003403 -999 -999 -999
-999 -999 -999 0.898618 -0.025559 -999 -999 -999
-999 -999 -999 0.891449 -0.037447 -999 -999 -999
-999 -999 -999 0.856119 -0.054817 -999 -999 -999
-999 -999 -999 0.002560 0.061310 -999 -999 -999
-999 -999 -999 0.006656 -0.175717 -999 -999 -999
-999 -999 -999 0.009729 -0.312259 -999 -999 -999
-999 -999 -999 0.011777 -0.381219 -999 -999 -999
-999 -999 -999 0.015873 -0.442590 -999 -999 -999
-999 -999 -999 0.017921 -0.488074 -999 -999 -999
-999 -999 -999 0.020481 -0.504057 -999 -999 -999
-999 -999 -999 0.024578 -0.538783 -999 -999 -999
-999 -999 -999 0.043523 -0.574076 -999 -999 -999
-999 -999 -999 0.046083 -0.602319 -999 -999 -999
-999 -999 -999 0.047107 -0.606796 -999 -999 -999
-999 -999 -999 0.086534 -0.541041 -999 -999 -999
-999 -999 -999 0.089606 -0.551663 -999 -999 -999
-999 -999 -999 0.139273 -0.704212 -999 -999 -999
-999 -999 -999 0.104455 -0.581257 -999 -999 -999
-999 -999 -999 0.144905 -0.714301 -999 -999 -999
-999 -999 -999 0.219662 -0.763096 -999 -999 -999
-999 -999 -999 0.226831 -0.739507 -999 -999 -999
-999 -999 -999 0.235535 -0.740348 -999 -999 -999
-999 -999 -999 0.315412 -0.778908 -999 -999 -999
-999 -999 -999 0.435228 -0.712217 -999 -999 -999
-999 -999 -999 0.428059 -0.715537 -999 -999 -999
-999 -999 -999 0.426011 -0.735676 -999 -999 -999
-999 -999 -999 0.348182 -0.777536 -999 -999 -999
-999 -999 -999 0.421403 -0.740123 -999 -999 -999
-999 -999 -999 0.519713 -0.510705 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=61.644800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.414100 -999 -999 -999
-999 -999 -999 0.987711 0.238093 -999 -999 -999
-999 -999 -999 0.987199 0.227302 -999 -999 -999
-999 -999 -999 0.650794 -0.147538 -999 -999 -999
-999 -999 -999 0.611879 -0.156700 -999 -999 -999
-999 -999 -999 0.740399 -0.152185 -999 -999 -999
-999 -999 -999 0.714286 -0.179378 -999 -999 -999
-999 -999 -999 0.794163 -0.116453 -999 -999 -999
-999 -999 -999 0.830005 -0.089256 -999 -999 -999
-999 -999 -999 0.002560 0.143287 -999 -999 -999
-999 -999 -999 0.000000 0.433598 -999 -999 -999
-999 -999 -999 0.002560 0.128251 -999 -999 -999
-999 -999 -999 0.985151 0.211036 -999 -999 -999
-999 -999 -999 0.969790 0.052402 -999 -999 -999
-999 -999 -999 0.955965 0.078144 -999 -999 -999
-999 -999 -999 0.943676 0.071925 -999 -999 -999
-999 -999 -999 0.908858 -0.007744 -999 -999 -999
-999 -999 -999 0.898618 -0.035342 -999 -999 -999
-999 -999 -999 0.891961 -0.045060 -999 -999 -999
-999 -999 -999 0.860215 -0.058955 -999 -999 -999
-999 -999 -999 0.002560 0.091556 -999 -999 -999
-999 -999 -999 0.006656 -0.168965 -999 -999 -999
-999 -999 -999 0.010241 -0.325836 -999 -999 -999
-999 -999 -999 0.012289 -0.373035 -999 -999 -999
-999 -999 -999 0.015361 -0.405911 -999 -999 -999
-999 -999 -999 0.017921 -0.431447 -999 -999 -999
-999 -999 -999 0.020993 -0.452831 -999 -999 -999
-999 -999 -999 0.025090 -0.518280 -999 -999 -999
-999 -999 -999 0.041987 -0.541618 -999 -999 -999
-999 -999 -999 0.046083 -0.570113 -999 -999 -999
-999 -999 -999 0.048131 -0.575607 -999 -999 -999
-999 -999 -999 0.087046 -0.607889 -999 -999 -999
-999 -999 -999 0.090630 -0.632000 -999 -999 -999
-999 -999 -999 0.140297 -0.759907 -999 -999 -999
-999 -999 -999 0.110599 -0.598667 -999 -999 -999
-999 -999 -999 0.144905 -0.770905 -999 -999 -999
-999 -999 -999 0.221710 -0.743704 -999 -999 -999
-999 -999 -999 0.227343 -0.730065 -999 -999 -999
-999 -999 -999 0.235023 -0.718320 -999 -999 -999
-999 -999 -999 0.317972 -0.769949 -999 -999 -999
-999 -999 -999 0.440860 -0.739620 -999 -999 -999
-999 -999 -999 0.430108 -0.707080 -999 -999 -999
-999 -999 -999 0.427035 -0.726098 -999 -999 -999
-999 -999 -999 0.349206 -0.750853 -999 -999 -999
-999 -999 -999 0.420891 -0.762164 -999 -999 -999
-999 -999 -999 0.519201 -0.520216 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=61.849600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.417481 -999 -999 -999
-999 -999 -999 0.987705 0.193870 -999 -999 -999
-999 -999 -999 0.986680 0.182043 -999 -999 -999
-999 -999 -999 0.654713 -0.125059 -999 -999 -999
-999 -999 -999 0.612705 -0.131101 -999 -999 -999
-999 -999 -999 0.740266 -0.152463 -999 -999 -999
-999 -999 -999 0.715164 -0.183265 -999 -999 -999
-999 -999 -999 0.791496 -0.124699 -999 -999 -999
-999 -999 -999 0.829918 -0.089739 -999 -999 -999
-999 -999 -999 0.002049 0.156181 -999 -999 -999
-999 -999 -999 0.000000 0.447215 -999 -999 -999
-999 -999 -999 0.002049 0.127403 -999 -999 -999
-999 -999 -999 0.984631 0.165625 -999 -999 -999
-999 -999 -999 0.969775 0.031059 -999 -999 -999
-999 -999 -999 0.956455 0.078488 -999 -999 -999
-999 -999 -999 0.943648 0.076215 -999 -999 -999
-999 -999 -999 0.907787 0.021414 -999 -999 -999
-999 -999 -999 0.898566 -0.009581 -999 -999 -999
-999 -999 -999 0.892418 -0.022465 -999 -999 -999
-999 -999 -999 0.863217 -0.058806 -999 -999 -999
-999 -999 -999 0.002049 0.086405 -999 -999 -999
-999 -999 -999 0.006148 -0.169352 -999 -999 -999
-999 -999 -999 0.009734 -0.303475 -999 -999 -999
-999 -999 -999 0.011783 -0.365690 -999 -999 -999
-999 -999 -999 0.014344 -0.448792 -999 -999 -999
-999 -999 -999 0.017930 -0.483165 -999 -999 -999
-999 -999 -999 0.021004 -0.500434 -999 -999 -999
-999 -999 -999 0.024590 -0.552794 -999 -999 -999
-999 -999 -999 0.040471 -0.593765 -999 -999 -999
-999 -999 -999 0.045594 -0.624870 -999 -999 -999
-999 -999 -999 0.048156 -0.624170 -999 -999 -999
-999 -999 -999 0.086066 -0.538481 -999 -999 -999
-999 -999 -999 0.090676 -0.563415 -999 -999 -999
-999 -999 -999 0.140369 -0.753895 -999 -999 -999
-999 -999 -999 0.115266 -0.583752 -999 -999 -999
-999 -999 -999 0.144467 -0.757234 -999 -999 -999
-999 -999 -999 0.222336 -0.743628 -999 -999 -999
-999 -999 -999 0.227971 -0.718232 -999 -999 -999
-999 -999 -999 0.234631 -0.695803 -999 -999 -999
-999 -999 -999 0.319160 -0.752817 -999 -999 -999
-999 -999 -999 0.445184 -0.726739 -999 -999 -999
-999 -999 -999 0.431352 -0.693881 -999 -999 -999
-999 -999 -999 0.427254 -0.726430 -999 -999 -999
-999 -999 -999 0.349898 -0.707508 -999 -999 -999
-999 -999 -999 0.419570 -0.724695 -999 -999 -999
-999 -999 -999 0.518443 -0.533203 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=62.054400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.417128 -999 -999 -999
-999 -999 -999 0.987705 0.158884 -999 -999 -999
-999 -999 -999 0.986680 0.149286 -999 -999 -999
-999 -999 -999 0.657787 -0.142059 -999 -999 -999
-999 -999 -999 0.612705 -0.144656 -999 -999 -999
-999 -999 -999 0.740266 -0.155292 -999 -999 -999
-999 -999 -999 0.716189 -0.178432 -999 -999 -999
-999 -999 -999 0.789959 -0.112545 -999 -999 -999
-999 -999 -999 0.830430 -0.082710 -999 -999 -999
-999 -999 -999 0.002049 0.149986 -999 -999 -999
-999 -999 -999 0.000000 0.414506 -999 -999 -999
-999 -999 -999 0.002049 0.120957 -999 -999 -999
-999 -999 -999 0.984119 0.135875 -999 -999 -999
-999 -999 -999 0.969775 0.021932 -999 -999 -999
-999 -999 -999 0.956455 0.066659 -999 -999 -999
-999 -999 -999 0.943648 0.024210 -999 -999 -999
-999 -999 -999 0.906762 -0.000423 -999 -999 -999
-999 -999 -999 0.898053 -0.028870 -999 -999 -999
-999 -999 -999 0.892418 -0.042165 -999 -999 -999
-999 -999 -999 0.865266 -0.064165 -999 -999 -999
-999 -999 -999 0.002049 0.064510 -999 -999 -999
-999 -999 -999 0.006148 -0.157361 -999 -999 -999
-999 -999 -999 0.010246 -0.302517 -999 -999 -999
-999 -999 -999 0.011783 -0.361556 -999 -999 -999
-999 -999 -999 0.014344 -0.432183 -999 -999 -999
-999 -999 -999 0.017930 -0.449430 -999 -999 -999
-999 -999 -999 0.021516 -0.466139 -999 -999 -999
-999 -999 -999 0.024590 -0.501543 -999 -999 -999
-999 -999 -999 0.039447 -0.539441 -999 -999 -999
-999 -999 -999 0.045594 -0.564325 -999 -999 -999
-999 -999 -999 0.048668 -0.571781 -999 -999 -999
-999 -999 -999 0.086066 -0.538314 -999 -999 -999
-999 -999 -999 0.091189 -0.559730 -999 -999 -999
-999 -999 -999 0.140881 -0.763843 -999 -999 -999
-999 -999 -999 0.118852 -0.608052 -999 -999 -999
-999 -999 -999 0.144467 -0.783387 -999 -999 -999
